State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2",
Alabama,199,135,112,0,23,0,23,24,17, 
Alaska,31,19,3,5,1,10,4,4,4,
Arizona,352,232,152,14,10,56,51,62,7,
Arkansas,130,93,49,7,4,33,12,21,4,
California,"1,811","1,257",953,59,44,201,250,201,103,
Colorado,117,65,34,0,4,27,20,21,11,
Connecticut,131,97,72,0,1,24,20,8,6,
Delaware,48,38,25,0,2,11,8,0,2,
District of Columbia,131,99,32,0,0,67,20,7,5,
Georgia,527,376,315,19,21,21,64,85,2,
Hawaii,24,7,6,0,0,1,6,5,6,
Idaho,21,12,12,0,0,0,4,2,3,
Illinois,453,364,355,3,1,5,30,43,16,
Indiana,198,142,83,11,7,41,19,25,12,
Iowa,38,21,9,1,4,7,4,9,4,
Kansas,100,63,30,4,1,28,13,18,6,
Kentucky,180,116,76,6,16,18,19,25,20,
Louisiana,437,351,263,19,11,58,42,31,13,
Maine,24,11,4,2,1,4,6,1,6,
Maryland,424,293,272,3,12,6,59,53,19,
Massachusetts,209,118,52,0,1,65,50,31,10,
Michigan,558,413,239,25,14,135,43,71,31,
Minnesota,91,53,43,2,8,0,14,16,8,
Mississippi,165,120,98,3,12,7,21,19,5,
Missouri,419,321,189,26,4,102,35,49,14,
Montana,21,12,6,2,4,0,3,5,1,
Nebraska,51,32,29,1,2,0,8,5,6,
Nevada,158,84,57,5,6,16,22,34,18,
New Hampshire,13,5,2,0,2,1,5,3,0,
New Jersey,363,246,216,7,2,21,50,39,28,
New Mexico,118,67,36,6,2,23,29,15,7,
New York,860,517,135,6,12,364,173,148,22,
North Carolina,445,286,188,21,25,52,56,72,31,
North Dakota,9,4,3,0,1,0,0,4,1,
Ohio,460,310,176,7,2,125,40,93,17,
Oklahoma,188,111,86,8,7,10,24,32,21,
Oregon,78,36,20,1,2,13,16,17,9,
Pennsylvania,646,457,367,8,11,71,67,94,28,
Rhode Island,29,16,2,1,1,12,5,6,2,
South Carolina,280,207,136,8,7,56,22,34,17,
South Dakota,14,8,3,0,1,4,2,4,0,
Tennessee,356,219,146,12,11,50,35,83,19,
Texas,"1,246",805,581,34,48,142,202,130,109,
Utah,52,22,16,0,1,5,7,12,11,
Vermont,7,2,1,1,0,0,1,2,2,
Virginia,369,250,137,9,12,92,47,50,22,
Washington,151,93,73,4,2,14,24,22,12,
West Virginia,55,27,16,0,4,7,11,9,8,
Wisconsin,151,97,63,5,6,23,13,22,19,
Wyoming,8,5,0,2,0,3,1,1,1,
Virgin Islands,50,41,36,1,0,4,4,5,0,
Total,12996,8775,6009,358,373,2035,1704,1772,745,